iter	MultiClass
0	-1.29129965
1	-1.228917619
2	-1.178729157
3	-1.118104437
4	-1.060929332
5	-1.015697499
6	-0.9672914991
7	-0.935841163
8	-0.889489605
9	-0.8573560363
10	-0.8279216471
11	-0.8029963672
12	-0.7912299961
13	-0.7675910204
14	-0.7481880069
15	-0.7310028904
16	-0.7132744257
17	-0.6954257046
18	-0.6885294612
19	-0.6736240474
20	-0.6554748585
21	-0.6419588993
22	-0.6287849047
23	-0.617127447
24	-0.6067352146
25	-0.5944031263
26	-0.5830205997
27	-0.5730314431
28	-0.5640931872
29	-0.5562939429
30	-0.5472754345
31	-0.5411289887
32	-0.5336461841
33	-0.5259303708
34	-0.5186792704
35	-0.5109138686
36	-0.5068093456
37	-0.4998587687
38	-0.4943980944
39	-0.4889571892
40	-0.4831676822
41	-0.4762456384
42	-0.4708611656
43	-0.4647126023
44	-0.4612351557
45	-0.4596626273
46	-0.4505944639
47	-0.4460250172
48	-0.4386428817
49	-0.4344941622
50	-0.428434661
51	-0.4233358835
52	-0.4190319095
53	-0.4143378194
54	-0.4084747109
55	-0.4035885075
56	-0.3980739649
57	-0.3961065438
58	-0.3915637336
59	-0.3861896854
60	-0.3822816457
61	-0.376201909
62	-0.372757046
63	-0.3699740682
64	-0.3657121117
65	-0.3609714887
66	-0.3574251016
67	-0.3537523236
68	-0.3458662975
69	-0.3421806643
70	-0.3376817277
71	-0.3318059131
72	-0.328690152
73	-0.325715197
74	-0.322425359
75	-0.320195882
76	-0.315083362
77	-0.3126050516
78	-0.3080509627
79	-0.3055061588
80	-0.30287246
81	-0.2998501773
82	-0.2965504049
83	-0.293241767
84	-0.2906171497
85	-0.2875208918
86	-0.2846425822
87	-0.2813645474
88	-0.277865514
89	-0.2746286339
90	-0.2721914019
91	-0.2696901078
92	-0.2671020369
93	-0.2644317134
94	-0.2605522451
95	-0.2579600798
96	-0.2556523274
97	-0.2532091075
98	-0.2501505354
99	-0.2481949174
100	-0.2446064064
101	-0.2419934746
102	-0.2380935085
103	-0.2362837959
104	-0.2338955446
105	-0.2319933685
106	-0.2302067762
107	-0.2283774121
108	-0.2263301997
109	-0.2240926982
110	-0.222096883
111	-0.2195033225
112	-0.2177869128
113	-0.2161429584
114	-0.2133099692
115	-0.2117583268
116	-0.2094353545
117	-0.2065818284
118	-0.2056503145
119	-0.2034116265
120	-0.2013291376
121	-0.1999688761
122	-0.1984203248
123	-0.1967247319
124	-0.1955411345
125	-0.1940439511
126	-0.1922885827
127	-0.1908301852
128	-0.189079581
129	-0.1874481221
130	-0.1863960665
131	-0.1848119392
132	-0.1832687441
133	-0.1822371457
134	-0.1793266754
135	-0.1778692768
136	-0.1762992295
137	-0.1752672514
138	-0.1731587052
139	-0.1712881118
140	-0.1696199045
141	-0.1684974112
142	-0.1668881757
143	-0.1654992569
144	-0.1646414936
145	-0.1638094066
146	-0.1610398575
147	-0.1595888266
148	-0.1583450129
149	-0.1573460368
150	-0.1562835337
151	-0.1542973079
152	-0.1529495317
153	-0.1511697222
154	-0.1504119321
155	-0.1498223862
156	-0.1487011222
157	-0.1475983446
158	-0.1462155774
159	-0.1451532509
160	-0.1438204573
161	-0.1423592393
162	-0.1414083477
163	-0.1405390085
164	-0.139231605
165	-0.1384470809
166	-0.1371899773
167	-0.1360005045
168	-0.135037956
169	-0.1339799253
170	-0.1331283246
171	-0.1323349336
172	-0.1309630732
173	-0.1304757328
174	-0.1293980846
175	-0.1286359576
176	-0.1277856056
177	-0.1270662917
178	-0.1257861498
179	-0.1250900433
180	-0.1244016903
181	-0.124013801
182	-0.1235556953
183	-0.1225763049
184	-0.1220627152
185	-0.1213369164
186	-0.1207554003
187	-0.1200140202
188	-0.1191233647
189	-0.1187138052
190	-0.118160245
191	-0.1173760858
192	-0.1166985181
193	-0.1160623824
194	-0.1150564916
195	-0.1141178902
196	-0.113508774
197	-0.112654008
198	-0.1121551488
199	-0.1116973478
200	-0.1110973325
201	-0.1100282661
202	-0.1094529074
203	-0.108719683
204	-0.1079600511
205	-0.1070478234
206	-0.1064632328
207	-0.1058478377
208	-0.1053450257
209	-0.1047823003
210	-0.1041457364
211	-0.1031234016
212	-0.10245785
213	-0.1018444929
214	-0.1014691298
215	-0.1007982831
216	-0.1001882202
217	-0.09970367857
218	-0.09915811608
219	-0.09860995787
220	-0.09820172897
221	-0.09773513548
222	-0.09682445028
223	-0.09651450257
224	-0.09583662103
225	-0.09552144092
226	-0.09488965633
227	-0.09457957025
228	-0.09411116412
229	-0.09351425858
230	-0.09295604636
231	-0.09250131872
232	-0.09201333882
233	-0.09183151446
234	-0.09102274198
235	-0.09072418415
236	-0.09034250886
237	-0.08968365944
238	-0.08933606647
239	-0.08864010057
240	-0.08811328104
241	-0.08778784466
242	-0.08747280496
243	-0.08713457669
244	-0.08683302819
245	-0.08621699251
246	-0.08556284588
247	-0.08525876422
248	-0.08491473065
249	-0.08413856636
250	-0.08369668697
251	-0.08332090171
252	-0.0827780971
253	-0.08239451247
254	-0.08205651282
255	-0.08170887155
256	-0.08106021612
257	-0.08079014099
258	-0.08055297892
259	-0.08008403237
260	-0.07974296698
261	-0.07945510083
262	-0.07853053857
263	-0.07806967981
264	-0.07726946487
265	-0.07707730764
266	-0.07676734346
267	-0.07650997501
268	-0.0762531636
269	-0.07597330853
270	-0.07565379384
271	-0.07540264066
272	-0.07455356589
273	-0.07418187779
274	-0.07380703418
275	-0.07338749807
276	-0.07307421067
277	-0.07271770157
278	-0.07249294901
279	-0.0722512667
280	-0.0717529691
281	-0.07155035637
282	-0.07135442153
283	-0.0709811967
284	-0.07074505274
285	-0.07047067674
286	-0.07019157429
287	-0.06983906735
288	-0.06964794557
289	-0.0695281786
290	-0.06935547462
291	-0.06901320183
292	-0.06876008663
293	-0.06827553698
294	-0.06800550273
295	-0.06779751682
296	-0.06727743073
297	-0.06681937472
298	-0.06646181523
299	-0.0661764063
300	-0.06570728543
301	-0.06548771819
302	-0.06514362924
303	-0.06487001417
304	-0.06468632274
305	-0.06449250876
306	-0.0642925628
307	-0.06403557067
308	-0.0636224882
309	-0.06342038544
310	-0.06314877111
311	-0.06290061942
312	-0.06260563936
313	-0.06244784794
314	-0.06231650228
315	-0.0621381183
316	-0.06188318111
317	-0.06163159646
318	-0.06141150644
319	-0.06114873411
320	-0.06053537933
321	-0.06032812089
322	-0.06013176132
323	-0.06000329667
324	-0.0597797464
325	-0.05952339316
326	-0.05942365016
327	-0.05922636668
328	-0.05902758863
329	-0.05876862768
330	-0.05849762087
331	-0.05831092095
332	-0.05814242692
333	-0.05776818484
334	-0.05757038617
335	-0.05729427776
336	-0.0569680004
337	-0.05668175398
338	-0.05656305709
339	-0.05638913851
340	-0.05625065318
341	-0.05605595297
342	-0.05586516829
343	-0.05560664863
344	-0.05538876076
345	-0.05524571303
346	-0.05510458842
347	-0.05499514172
348	-0.05479532996
349	-0.054638581
350	-0.05443967231
351	-0.05411677347
352	-0.05405190008
353	-0.05367592732
354	-0.05346235981
355	-0.05322679991
356	-0.05312954822
357	-0.0529031265
358	-0.05268277496
359	-0.05248110449
360	-0.05237454918
361	-0.05225503368
362	-0.05204441416
363	-0.05194190593
364	-0.05179596143
365	-0.05164498555
366	-0.05139974547
367	-0.0512827261
368	-0.05113996875
369	-0.05097148419
370	-0.05083796526
371	-0.05066568151
372	-0.0503700226
373	-0.05015649754
374	-0.05003736026
375	-0.04965551775
376	-0.04952818198
377	-0.04930993805
378	-0.04906875341
379	-0.04875682489
380	-0.04865762011
381	-0.04855981997
382	-0.04827200665
383	-0.04818845458
384	-0.04799157351
385	-0.04772200991
386	-0.04741605974
387	-0.0473085066
388	-0.04719620285
389	-0.04710281575
390	-0.04692835082
391	-0.04670680753
392	-0.04657474157
393	-0.04643086612
394	-0.04622647873
395	-0.04598896858
396	-0.04583662062
397	-0.04575348346
398	-0.04562088574
399	-0.04550231386
400	-0.04533907297
401	-0.04524337146
402	-0.04511416629
403	-0.04501450918
404	-0.04492629811
405	-0.04463977092
406	-0.04456391365
407	-0.04443613081
408	-0.04435671962
409	-0.04425860389
410	-0.04416197574
411	-0.04405780148
412	-0.04396777156
413	-0.04387721002
414	-0.04358725422
415	-0.0434874295
416	-0.04333988085
417	-0.04327825743
418	-0.04319420054
419	-0.04307990303
420	-0.04292598013
421	-0.04279136897
422	-0.04271621785
423	-0.04258677443
424	-0.04244017097
425	-0.04237254678
426	-0.04226445599
427	-0.04210268419
428	-0.04199414258
429	-0.04194128564
430	-0.04185328527
431	-0.0417296913
432	-0.04165127051
433	-0.04159433279
434	-0.04149678538
435	-0.04138304017
436	-0.04127985458
437	-0.04113700102
438	-0.04097834662
439	-0.04086066958
440	-0.04078170435
441	-0.0407172018
442	-0.04067406731
443	-0.04054729454
444	-0.04050038085
445	-0.04040609831
446	-0.0402298502
447	-0.04014212737
448	-0.03999728205
449	-0.03989690512
450	-0.03972457747
451	-0.03957536605
452	-0.03951929773
453	-0.03943601583
454	-0.03938464076
455	-0.03927064675
456	-0.03910410061
457	-0.03903139487
458	-0.03892990982
459	-0.03884231789
460	-0.03874286459
461	-0.03856497746
462	-0.0383650958
463	-0.03824253755
464	-0.03813750752
465	-0.03801961992
466	-0.0379015409
467	-0.03771793709
468	-0.03760119908
469	-0.03743335044
470	-0.03730865821
471	-0.03722842211
472	-0.03714888071
473	-0.03703307487
474	-0.03695682138
475	-0.0368560942
476	-0.03677321095
477	-0.03664885712
478	-0.03656017744
479	-0.03641279943
480	-0.03630210664
481	-0.03605088073
482	-0.03599202991
483	-0.03590775601
484	-0.0358230422
485	-0.03562893258
486	-0.03556178857
487	-0.0355198294
488	-0.0353854904
489	-0.03531549081
490	-0.03522865616
491	-0.03512974307
492	-0.03506790854
493	-0.03492194973
494	-0.0348498912
495	-0.03478740899
496	-0.03475091068
497	-0.03459472797
498	-0.03452831901
499	-0.03447362865
