iter	Passed	Remaining
0	10	5364
1	13	3460
2	15	2649
3	20	2595
4	22	2218
5	27	2255
6	30	2151
7	39	2402
8	42	2296
9	46	2297
10	50	2227
11	51	2096
12	59	2241
13	64	2241
14	73	2370
15	75	2285
16	77	2187
17	82	2195
18	83	2102
19	91	2198
20	99	2273
21	108	2349
22	111	2308
23	119	2366
24	127	2428
25	136	2486
26	144	2537
27	156	2632
28	159	2584
29	161	2531
30	164	2489
31	168	2466
32	173	2458
33	187	2569
34	194	2580
35	210	2709
36	214	2690
37	229	2793
38	250	2957
39	262	3014
40	276	3093
41	287	3138
42	292	3104
43	303	3143
44	305	3088
45	307	3030
46	319	3081
47	330	3112
48	341	3145
49	352	3173
50	364	3205
51	374	3230
52	386	3262
53	393	3250
54	405	3278
55	423	3355
56	437	3401
57	440	3357
58	458	3426
59	474	3483
60	486	3503
61	495	3503
62	507	3518
63	509	3469
64	517	3466
65	526	3462
66	534	3457
67	543	3451
68	551	3444
69	559	3437
70	567	3431
71	576	3427
72	584	3420
73	592	3412
74	601	3406
75	609	3402
76	623	3423
77	635	3437
78	650	3468
79	666	3499
80	675	3495
81	686	3501
82	696	3497
83	705	3492
84	713	3485
85	722	3476
86	730	3467
87	738	3459
88	747	3450
89	757	3450
90	767	3447
91	777	3446
92	787	3444
93	796	3440
94	807	3443
95	817	3442
96	829	3445
97	840	3448
98	852	3453
99	868	3472
100	878	3469
101	889	3469
102	899	3465
103	907	3454
104	917	3451
105	926	3442
106	935	3436
107	944	3428
108	953	3420
109	962	3412
110	971	3405
111	981	3401
112	990	3393
113	999	3384
114	1008	3376
115	1017	3366
116	1025	3357
117	1040	3368
118	1057	3385
119	1072	3397
120	1089	3412
121	1109	3436
122	1118	3427
123	1129	3426
124	1139	3417
125	1149	3413
126	1160	3407
127	1171	3403
128	1180	3394
129	1188	3383
130	1198	3375
131	1208	3368
132	1216	3357
133	1230	3361
134	1247	3373
135	1260	3374
136	1272	3371
137	1284	3368
138	1294	3360
139	1303	3351
140	1313	3343
141	1322	3334
142	1331	3323
143	1342	3317
144	1352	3311
145	1361	3300
146	1370	3290
147	1378	3279
148	1388	3271
149	1396	3259
150	1406	3251
151	1416	3242
152	1425	3232
153	1439	3233
154	1456	3242
155	1469	3239
156	1480	3235
157	1493	3233
158	1505	3228
159	1516	3221
160	1527	3216
161	1536	3205
162	1546	3196
163	1554	3184
164	1562	3171
165	1571	3162
166	1580	3151
167	1588	3139
168	1596	3127
169	1605	3115
170	1613	3103
171	1621	3092
172	1630	3081
173	1642	3076
174	1654	3072
175	1665	3066
176	1680	3067
177	1693	3062
178	1705	3059
179	1717	3054
180	1729	3048
181	1741	3042
182	1749	3030
183	1759	3022
184	1768	3011
185	1780	3006
186	1791	2998
187	1802	2991
188	1814	2985
189	1823	2975
190	1832	2964
191	1846	2962
192	1859	2957
193	1872	2954
