iter	RMSE
0	191853.7843
1	186766.3156
2	181880.78
3	177163.7826
4	172490.1799
5	168031.1436
6	163670.8837
7	159403.6242
8	155273.956
9	151338.0945
10	147507.5198
11	143848.2524
12	140266.2775
13	136854.289
14	133389.7151
15	130028.8916
16	126793.6937
17	123758.2957
18	120848.9765
19	118047.2724
20	115373.5365
21	112730.072
22	110177.8595
23	107588.0701
24	105203.9616
25	102845.6617
26	100627.2873
27	98412.90403
28	96336.5687
29	94200.19013
30	92230.31854
31	90227.61332
32	88615.58063
33	86755.53339
34	84923.90045
35	83238.53853
36	81608.72629
37	79966.23377
38	78456.04833
39	76985.2073
40	75513.72437
41	74180.50141
42	72733.7784
43	71444.68543
44	70021.22923
45	68832.17421
46	67601.00813
47	66343.83782
48	65187.5521
49	64022.43892
50	62889.4627
51	61796.24673
52	60879.21106
53	59947.15586
54	58983.86907
55	58080.99934
56	57113.58333
57	56190.86291
58	55319.29169
59	54506.38781
60	53723.76984
61	52936.36648
62	52210.62711
63	51512.8293
64	50887.24731
65	50239.15684
66	49561.5224
67	48884.16231
68	48279.44988
69	47717.84095
70	47147.5613
71	46610.95982
72	46115.04546
73	45614.68185
74	45052.75387
75	44585.44774
76	44135.24406
77	43704.78067
78	43277.11361
79	42964.39368
80	42478.96639
81	42117.40021
82	41635.74516
83	41227.73875
84	40885.86836
85	40492.42834
86	40121.43032
87	39780.42291
88	39501.72023
89	39150.42545
90	38871.27632
91	38612.63149
92	38360.05958
93	38141.31326
94	37929.38927
95	37689.65534
96	37437.68265
97	37177.05433
98	36926.3023
99	36709.11228
100	36515.56185
101	36354.92765
102	36057.88807
103	35849.6277
104	35611.13004
105	35422.08771
106	35261.54711
107	35109.65018
108	34844.73189
109	34673.00621
110	34435.33847
111	34278.72198
112	34161.46123
113	33971.35651
114	33848.51803
115	33725.77995
116	33599.03057
117	33502.26918
118	33312.07121
119	33165.46898
120	32968.55003
121	32859.70166
122	32787.91262
123	32656.72266
124	32469.75421
125	32347.47055
126	32171.53096
127	32042.73436
128	31941.69898
129	31763.42733
130	31608.90446
131	31463.58612
132	31345.73612
133	31145.43573
134	31058.61104
135	30886.82005
136	30803.96489
137	30638.12643
138	30569.27871
139	30455.09139
140	30389.39059
141	30294.26337
142	30214.68416
143	30087.97233
144	29939.40093
145	29870.17369
146	29810.90745
147	29725.25178
148	29622.02057
149	29530.18339
150	29474.34853
151	29357.98801
152	29290.62867
153	29189.6672
154	29147.83681
155	29014.27033
156	28971.97
157	28930.55165
158	28862.76869
159	28739.31678
160	28664.56047
161	28594.46343
162	28530.89532
163	28429.79
164	28342.47808
165	28279.22455
166	28245.74482
167	28209.83993
168	28163.4796
169	28110.70229
170	28008.69444
171	27911.4481
172	27804.3808
173	27741.63544
174	27642.88638
175	27588.10347
176	27550.29317
177	27451.71929
178	27383.24718
179	27354.88442
180	27319.29897
181	27260.70803
182	27204.39903
183	27070.07949
184	27057.03857
185	27009.84071
186	26944.45098
187	26899.85467
188	26846.87666
189	26799.49514
190	26714.0292
191	26604.16373
192	26554.37896
193	26470.08058
194	26416.60538
195	26358.4665
196	26311.25064
197	26232.09047
198	26156.86021
199	26101.30006
200	26035.3336
201	25999.56135
202	25962.42665
203	25942.86646
204	25889.04967
205	25887.19515
206	25813.25578
207	25729.29315
208	25668.83935
209	25626.27225
210	25608.08562
211	25539.55292
212	25467.12082
213	25434.09538
214	25419.17149
215	25373.9599
216	25295.52063
217	25240.92567
218	25229.16226
219	25178.13439
220	25128.24687
221	25120.57723
222	25060.28443
223	25022.0995
224	25014.84414
225	24977.82559
226	24961.69544
227	24937.92496
228	24891.74684
229	24851.26737
230	24813.56164
231	24755.33493
232	24729.31589
233	24696.78309
234	24640.48417
235	24628.32477
236	24589.73087
237	24587.38538
238	24585.45572
239	24564.40121
240	24525.36914
241	24516.60735
242	24488.62746
243	24449.8013
244	24403.04699
245	24384.08182
246	24353.73839
247	24299.27026
248	24271.10129
249	24257.46118
250	24232.20195
251	24216.17058
252	24166.74078
253	24123.02952
254	24089.76032
255	24078.15952
256	24045.73668
257	24010.82886
258	23989.29141
259	23970.43683
260	23949.88997
261	23891.75181
262	23876.65249
263	23847.16485
264	23788.99239
265	23762.23876
266	23734.39198
267	23722.76338
268	23708.61194
269	23694.44134
270	23639.59487
271	23621.14378
272	23531.079
273	23491.4328
274	23477.61128
275	23455.28121
276	23437.1927
277	23407.57279
278	23347.40509
279	23322.44337
280	23277.22263
281	23235.3722
282	23223.91377
283	23185.47665
284	23140.54371
285	23101.28899
286	23083.54955
287	23080.97098
288	23067.17837
289	23029.57012
290	23003.67163
291	22990.19084
292	22953.62587
293	22928.68006
294	22907.7073
295	22889.92871
296	22847.34251
297	22831.92013
298	22803.54045
299	22778.09086
300	22761.88397
301	22668.6051
302	22653.02673
303	22633.84072
304	22598.15937
305	22588.19672
306	22578.33746
307	22571.78494
308	22554.09306
309	22538.61075
310	22462.92817
311	22444.48956
312	22433.06139
313	22405.83349
314	22395.5913
315	22366.4568
316	22338.75151
317	22328.84973
318	22307.08972
319	22278.19183
320	22255.90904
321	22248.54546
322	22209.4808
323	22172.72977
324	22120.34863
325	22096.04686
326	22037.35623
327	22011.16575
328	21995.72413
329	21973.43233
330	21947.5969
331	21938.64336
332	21914.46577
333	21913.80243
334	21901.88235
335	21872.42316
336	21863.29325
337	21852.68381
338	21842.65997
339	21828.83288
340	21818.03204
341	21770.30037
342	21743.39311
343	21735.65815
344	21699.77411
345	21689.19099
346	21676.86844
347	21670.46107
348	21658.91642
349	21648.69232
350	21623.91946
351	21614.67224
352	21606.19777
353	21594.42905
354	21586.10229
355	21566.21293
356	21560.66404
357	21546.66541
358	21526.20467
359	21516.10911
360	21470.0729
361	21455.87235
362	21448.64736
363	21443.07736
364	21395.41752
365	21386.20383
366	21355.90637
367	21348.57997
368	21336.44694
369	21323.3759
370	21280.08515
371	21275.66232
372	21266.64184
373	21251.88238
374	21248.44847
375	21234.89279
376	21218.09532
377	21207.99611
378	21187.65129
379	21182.38832
380	21163.67453
381	21154.13635
382	21140.45687
383	21127.30116
384	21114.44818
385	21103.28297
386	21078.76813
387	21074.42378
388	21044.19402
389	21022.78717
390	21019.99672
391	21017.55711
392	21011.91632
393	21009.26731
394	20995.68206
395	20978.84687
396	20961.97461
397	20954.43112
398	20949.80406
399	20921.80604
400	20919.1506
401	20907.19113
402	20880.29002
403	20875.61033
404	20865.831
405	20833.51792
406	20829.47719
407	20823.97165
408	20819.08571
409	20808.69512
410	20755.11017
411	20750.90345
412	20739.05532
413	20735.43329
414	20731.0036
415	20714.10634
416	20703.27841
417	20677.10349
418	20675.87867
419	20672.52266
420	20669.04212
421	20655.15
422	20651.57788
423	20631.4006
424	20626.98691
425	20622.86967
426	20580.83894
427	20569.7226
428	20557.7111
429	20545.78052
430	20531.61947
431	20509.86101
432	20503.47889
433	20484.782
434	20474.20965
435	20461.62622
436	20458.75142
437	20455.09992
438	20451.6494
439	20445.2257
440	20423.17548
441	20375.20174
442	20367.81155
443	20357.25072
444	20334.61917
445	20326.26895
446	20323.8776
447	20300.85232
448	20295.41335
449	20291.9111
450	20278.03501
451	20272.15774
452	20269.8078
453	20226.77712
454	20224.66216
455	20220.2132
456	20211.09946
457	20200.27679
458	20197.70885
459	20194.89989
460	20188.97358
461	20184.80284
462	20174.61802
463	20170.70876
464	20162.20104
465	20159.01336
466	20156.75438
467	20123.88186
468	20117.59059
469	20109.59674
470	20097.78866
471	20093.15877
472	20091.4561
473	20085.91391
474	20060.27658
475	20055.88338
476	20054.11465
477	20047.57393
478	20045.29604
479	20043.21931
480	20034.60791
481	20030.84803
482	20020.9506
483	19996.77252
484	19981.94828
485	19975.25326
486	19972.15912
487	19964.45922
488	19960.62355
489	19959.0184
490	19952.86397
491	19950.16404
492	19949.02028
493	19938.18148
494	19933.90588
495	19918.68608
496	19912.96073
497	19904.139
498	19899.15112
499	19891.14923
500	19885.56638
501	19883.94908
502	19879.39073
503	19877.38003
504	19874.69436
505	19847.56534
506	19840.97635
507	19838.65286
508	19827.80855
509	19822.34722
510	19813.86462
511	19811.27168
512	19806.0539
513	19798.338
514	19788.72657
515	19784.18768
516	19782.52376
517	19777.27645
518	19771.49452
519	19770.17695
520	19757.13319
521	19754.67836
522	19751.92505
523	19747.21291
524	19743.77746
525	19731.93177
526	19727.41579
527	19703.99844
528	19701.07683
529	19698.69643
530	19695.76474
531	19656.49579
532	19647.94375
533	19644.01343
534	19627.07657
535	19620.98408
536	19616.81323
537	19609.8801
538	19605.38201
539	19603.14079
540	19601.29603
541	19599.55125
542	19598.28947
543	19592.34588
544	19587.01912
545	19583.88211
546	19574.50618
547	19573.42039
548	19565.93182
549	19563.15461
550	19561.88413
551	19555.02874
552	19551.66993
553	19549.51163
554	19544.71808
555	19543.31622
556	19539.86526
557	19533.09703
558	19531.65848
559	19524.30625
560	19516.35183
561	19512.18778
562	19506.2245
563	19502.78642
564	19495.76687
565	19495.03711
566	19493.36006
567	19479.67269
568	19477.1695
569	19474.18237
570	19472.70244
571	19469.33905
572	19460.87495
573	19459.61654
574	19452.08365
575	19442.9896
576	19441.85334
577	19437.74715
578	19437.1203
579	19432.00598
580	19431.17773
581	19424.44524
582	19418.11772
583	19413.27039
584	19408.81184
585	19404.18474
586	19396.12908
587	19394.95523
588	19394.49963
589	19393.76453
590	19393.25109
591	19390.67004
