iter	Passed	Remaining
0	52	51975
1	104	52085
2	150	50162
3	238	59416
4	353	70437
5	393	65203
6	455	64651
7	523	64948
8	559	61613
9	642	63602
10	656	59051
11	701	57738
12	782	59416
13	865	60969
14	919	60401
15	958	58922
16	1001	57913
17	1082	59050
18	1090	56324
19	1154	56562
20	1223	57053
21	1273	56600
22	1342	57022
23	1423	57892
24	1455	56782
25	1532	57427
26	1540	55532
27	1550	53837
28	1568	52514
29	1665	53837
30	1733	54193
31	1835	55527
32	1840	53933
33	1955	55556
34	2049	56500
35	2162	57919
36	2262	58893
37	2344	59352
38	2361	58188
39	2464	59157
40	2551	59674
41	2623	59833
42	2677	59592
43	2691	58468
44	2747	58309
45	2817	58427
46	2849	57768
47	2898	57485
48	2962	57502
49	2998	56973
50	3063	57004
51	3156	57542
52	3188	56967
53	3208	56216
54	3288	56498
55	3333	56191
56	3410	56424
57	3490	56698
58	3632	57937
59	3758	58875
60	3877	59684
61	3943	59659
62	3960	58910
63	3997	58467
64	4010	57693
65	4023	56944
66	4102	57127
67	4155	56952
68	4227	57043
69	4296	57079
70	4370	57191
71	4397	56682
72	4417	56098
73	4478	56041
74	4551	56132
75	4642	56446
76	4744	56872
77	4803	56783
78	4922	57393
79	4955	56983
80	5084	57681
81	5244	58715
82	5305	58615
83	5377	58640
84	5474	58935
85	5572	59227
86	5709	59911
87	5882	60959
88	5921	60607
89	6090	61586
90	6250	62437
91	6315	62332
92	6334	61781
93	6413	61814
94	6463	61575
95	6612	62268
96	6712	62487
97	6748	62115
98	6805	61937
99	6984	62856
100	7020	62493
101	7065	62202
102	7130	62097
103	7223	62231
104	7363	62761
105	7456	62889
106	7521	62776
107	7583	62637
108	7677	62757
109	7747	62685
110	7848	62855
111	7893	62582
112	8050	63196
113	8118	63095
114	8171	62881
115	8251	62881
116	8271	62424
117	8290	61970
118	8349	61813
119	8512	62422
120	8692	63147
121	8811	63410
122	8906	63503
123	9077	64131
124	9198	64390
125	9250	64165
126	9339	64197
127	9361	63777
128	9394	63430
129	9529	63772
130	9641	63960
131	9711	63858
132	9792	63837
133	9848	63645
134	9872	63257
135	9941	63157
136	10044	63275
137	10179	63581
138	10217	63292
139	10299	63266
140	10362	63130
141	10465	63233
142	10599	63522
143	10782	64098
144	10888	64204
145	10946	64027
146	10985	63743
147	11100	63905
148	11256	64293
149	11392	64560
150	11460	64436
151	11578	64597
152	11725	64912
153	11885	65295
154	11924	65006
155	12075	65333
156	12208	65550
157	12235	65202
158	12345	65299
159	12432	65270
160	12565	65480
161	12648	65430
162	12787	65661
163	12880	65660
164	13004	65808
165	13153	66082
166	13242	66055
167	13328	66009
168	13353	65662
169	13412	65485
170	13508	65490
171	13588	65412
172	13754	65750
173	13872	65853
174	13987	65942
175	14008	65585
176	14057	65365
177	14139	65294
178	14256	65388
179	14352	65381
180	14392	65122
181	14494	65147
182	14635	65337
183	14800	65635
184	14844	65395
185	14868	65068
186	14934	64931
187	14986	64731
188	15101	64799
189	15183	64730
190	15296	64787
191	15387	64755
192	15451	64610
193	15601	64819
194	15746	65006
195	15909	65260
196	16004	65237
197	16116	65281
198	16234	65346
199	16353	65415
200	16463	65445
201	16511	65227
202	16624	65269
203	16678	65079
204	16783	65085
205	16822	64839
206	16917	64810
207	17052	64929
208	17179	65017
209	17270	64968
210	17289	64651
211	17397	64665
212	17554	64861
213	17657	64855
214	17716	64685
215	17819	64676
216	17962	64813
217	18051	64754
218	18145	64711
219	18281	64816
220	18397	64849
221	18432	64596
222	18572	64711
223	18633	64552
224	18652	64245
225	18734	64161
226	18820	64088
227	18949	64162
228	19091	64277
229	19221	64349
230	19383	64527
231	19493	64531
232	19614	64569
233	19791	64788
234	19913	64824
235	19981	64686
236	20069	64611
237	20116	64405
238	20134	64109
239	20235	64077
240	20381	64187
