id,cuisine
18009,southern_us
28583,southern_us
41580,italian
29752,cajun_creole
35687,italian
38527,british
19666,italian
41217,chinese
28753,mexican
22659,italian
21749,italian
44967,greek
42969,indian
44883,italian
20827,southern_us
23196,mexican
35387,italian
33780,southern_us
19001,mexican
16526,southern_us
42455,japanese
47453,indian
42478,italian
11885,indian
16585,italian
29639,southern_us
26245,thai
38516,korean
47520,italian
26212,italian
23696,mexican
14926,thai
13292,italian
27346,japanese
1384,chinese
15959,mexican
42297,russian
46235,indian
21181,indian
9809,cajun_creole
22982,cajun_creole
23120,chinese
26743,french
12741,mexican
7050,italian
22437,italian
14760,spanish
10649,southern_us
48065,vietnamese
39931,chinese
32935,italian
40142,thai
19103,indian
38267,italian
30512,italian
3324,chinese
26197,italian
384,japanese
47230,chinese
39748,italian
41038,french
24878,mexican
42624,filipino
45706,korean
8874,mexican
23878,greek
47234,italian
24075,thai
46323,italian
22562,italian
11358,italian
9201,indian
38620,thai
47638,southern_us
21238,indian
11053,japanese
46602,indian
13937,mexican
21876,southern_us
20798,greek
24381,chinese
48178,spanish
45832,italian
27560,korean
23247,british
28975,southern_us
43230,greek
9126,italian
13021,cajun_creole
28194,chinese
25617,mexican
36125,italian
16454,mexican
1607,chinese
38526,mexican
18755,italian
12035,french
16047,greek
15419,italian
16971,indian
31459,southern_us
27888,french
13900,italian
12376,indian
1658,italian
29431,mexican
22290,italian
28464,italian
37953,korean
20814,italian
35987,mexican
2329,italian
43237,mexican
30647,french
16675,italian
37722,mexican
32438,chinese
20287,thai
43296,indian
6237,greek
48560,korean
20810,mexican
34951,french
31850,italian
47745,southern_us
37815,mexican
9872,italian
5592,italian
27411,vietnamese
39320,irish
40247,southern_us
19792,mexican
40754,italian
14365,mexican
14468,italian
47563,mexican
19611,italian
7163,mexican
43069,italian
27505,chinese
36500,chinese
25932,southern_us
817,italian
8471,french
48250,southern_us
9413,mexican
12097,cajun_creole
8416,italian
5892,italian
676,italian
47015,chinese
21891,italian
14630,italian
36195,chinese
25981,mexican
39964,french
28298,indian
31954,italian
26620,mexican
14932,southern_us
47426,mexican
1038,southern_us
8077,southern_us
37141,southern_us
45447,french
9624,mexican
45589,southern_us
7265,italian
31844,southern_us
13046,italian
9867,southern_us
29184,italian
34783,italian
2823,vietnamese
18932,mexican
11112,mexican
12859,thai
9365,italian
44516,italian
18193,southern_us
46545,italian
9900,italian
14815,thai
39690,italian
22193,southern_us
11739,french
27311,chinese
36920,indian
7861,indian
29248,mexican
43142,mexican
7574,italian
8610,mexican
989,italian
46926,mexican
40816,mexican
39726,chinese
42229,southern_us
10474,italian
22140,mexican
31985,indian
46165,japanese
20860,italian
42494,italian
15968,french
20484,thai
26661,brazilian
47182,mexican
22528,southern_us
3861,mexican
1203,italian
45040,italian
33287,indian
10097,jamaican
42005,italian
12423,spanish
39613,italian
30276,brazilian
18686,italian
3031,french
40093,greek
182,italian
46591,mexican
4092,chinese
13722,southern_us
44575,italian
14989,italian
13270,southern_us
25529,italian
12140,indian
23127,mexican
13523,italian
41270,italian
8362,italian
11735,mexican
27935,italian
28198,mexican
37765,indian
33856,french
30198,italian
42521,southern_us
21567,mexican
36995,mexican
24967,thai
45002,italian
48925,italian
36914,italian
2280,southern_us
14729,cajun_creole
4594,italian
2237,mexican
45631,moroccan
2317,chinese
23079,italian
29333,chinese
48066,italian
15737,italian
30580,jamaican
1119,italian
46336,moroccan
5026,mexican
10749,indian
31020,mexican
30805,italian
27653,italian
35060,mexican
39174,mexican
49509,italian
31784,french
31408,italian
36029,indian
11045,french
6561,southern_us
26992,french
31179,southern_us
35099,mexican
11018,chinese
17930,mexican
21302,italian
46352,chinese
25132,mexican
7010,mexican
25850,southern_us
19601,mexican
7935,italian
34994,italian
25113,italian
45523,italian
34977,southern_us
7124,southern_us
27514,southern_us
27178,mexican
47880,korean
29197,french
16347,russian
